Date,Close/Last,Volume,Open,High,Low
06/27/2019,30.755,18817510,30.755,30.9925,30.5253
06/26/2019,30.425,23528880,30.61,31.19,30.3006
06/25/2019,30.045,34905840,31.59,31.64,29.89
06/24/2019,31.665,17234644,31.845,31.945,31.606
06/21/2019,31.675,26161660,31.655,32.27,31.4744
06/20/2019,31.82,29838760,32.245,32.265,31.115
06/19/2019,30.97,34244800,30.765,31.18,30.2
06/18/2019,30.61,35457380,30.375,31.245,30.155
06/17/2019,29.34,18762582,28.995,29.585,28.9201
06/14/2019,28.815,19286218,28.735,29.05,28.495
06/13/2019,29.195,24639840,29.065,29.415,28.89
06/12/2019,28.725,27544020,28.965,29.15,28.5501
06/11/2019,29.22,34361800,30.03,30.185,28.9266
06/10/2019,29.11,45817960,28.68,29.91,28.68
06/07/2019,28.085,37887020,27,28.4595,26.91
06/06/2019,26.57,25075580,26.1,26.7742,25.755
06/05/2019,25.97,38079260,26.145,26.16,25.184
06/04/2019,25.41,40967300,24.2,25.44,23.9555
06/03/2019,23.505,60453280,24.91,25.1,23.065
05/31/2019,25.11,35150180,25.435,25.705,25.07
05/30/2019,26.38,34106940,26.265,26.59,25.92
05/29/2019,26.07,44480320,26.245,26.5,25.63
05/28/2019,26.74,29225740,27.27,27.705,26.715
05/24/2019,27.03,34306440,27.535,27.8,26.94
05/23/2019,27.07,51920280,27.4275,27.44,26.5525
05/22/2019,28.41,32228140,28.29,28.89,28.28
05/21/2019,28.785,28621740,28.635,29.02,28.3669
05/20/2019,27.945,46092180,28.19,28.5149,27.6233
05/17/2019,29.42,45627540,29.445,30.6701,29.335
05/16/2019,30.365,43506520,29.5,30.91,29.403
05/15/2019,29.445,44040100,27.73,29.6949,27.695
05/14/2019,28.27,35047980,27.81,28.79,27.5149
05/13/2019,27.41,58730220,28.24,28.715,27.135
05/10/2019,30.57,56964640,30.12,31.015,28.62
05/09/2019,30.485,55104400,29.98,30.795,29.135
05/08/2019,30.975,40309460,30.935,31.695,30.595
05/07/2019,31.25,59382340,32.105,32.51,30.3219
05/06/2019,33.18,40428880,31.655,33.31,31.48
05/03/2019,33.785,27222380,33.07,33.875,32.895
05/02/2019,32.265,35322120,32.675,33.165,31.624
05/01/2019,32.665,31479080,33.66,33.9543,32.63
04/30/2019,33.045,31704260,33,33.205,32.335
04/29/2019,33.82,20821180,33.63,33.985,33.47
04/26/2019,33.64,27597920,33.405,33.65,32.55
04/25/2019,33.52,29733560,33.885,33.9272,33.0155
04/24/2019,33.15,23382320,33.55,33.69,33.135
04/23/2019,33.475,26181460,32.505,33.6,32.365
04/22/2019,32.25,18885806,31.575,32.295,31.5
04/18/2019,31.98,22946360,32.04,32.055,31.435
04/17/2019,31.88,28498920,32.18,32.2795,31.605
04/16/2019,31.565,23523840,31.575,31.775,31.295
